id,id,AnoMesDia,Hora,Abe,Max,Min,Fec,Media1,Media2,CV,Posicao,Gain,Loss,QtdOp,Resultado,Rdia,Rmes
1,1,2017.01.02,09:00,60890,60890,60610,60655,,,,,,,,,,
2,2,2017.01.02,09:05,60650,60680,60590,60655,,,,,,,,,,
3,3,2017.01.02,09:10,60665,60680,60615,60645,,,,,,,,,,
4,4,2017.01.02,09:15,60640,60695,60540,60585,,,,,,,,,,
5,5,2017.01.02,09:20,60590,60600,60535,60570,,,,,,,,,,
6,6,2017.01.02,09:25,60565,60590,60495,60510,,,,,,,,,,
7,7,2017.01.02,09:30,60515,60535,60465,60495,,,,,,,,,,
8,8,2017.01.02,09:35,60495,60520,60480,60490,,,,,,,,,,
9,9,2017.01.02,09:40,60490,60545,60470,60495,,,,,,,,,,
10,10,2017.01.02,09:45,60495,60555,60405,60425,,,,,,,,,,
11,11,2017.01.02,09:50,60425,60455,60370,60400,,,,,,,,,,
12,12,2017.01.02,09:55,60405,60440,60380,60405,,,,,,,,,,
13,13,2017.01.02,10:00,60395,60420,60335,60380,,,,,,,,,,
14,14,2017.01.02,10:05,60380,60395,60305,60310,,,,,,,,,,
15,15,2017.01.02,10:10,60310,60310,60210,60260,,,,,,,,,,
16,16,2017.01.02,10:15,60260,60295,60205,60240,,,,,,,,,,
17,17,2017.01.02,10:20,60240,60330,60235,60330,,,,,,,,,,
18,18,2017.01.02,10:25,60330,60345,60295,60305,,,,,,,,,,
19,19,2017.01.02,10:30,60305,60360,60250,60340,,,,,,,,,,
20,20,2017.01.02,10:35,60335,60350,60285,60305,,,,,,,,,,
21,21,2017.01.02,10:40,60310,60340,60275,60310,"60308,9","60433,8",,,,,,,,
22,22,2017.01.02,10:45,60310,60395,60305,60360,"60306,7","60427,1",,,,,,,,
23,23,2017.01.02,10:50,60360,60385,60355,60375,"60313,9","60422,4",,,,,,,,
24,24,2017.01.02,10:55,60380,60395,60320,60365,"60325,6","60417,1",,,,,,,,
25,25,2017.01.02,11:00,60365,60455,60360,60440,"60347,8","60419,2",,,,,,,,
26,26,2017.01.02,11:05,60440,60455,60415,60440,60360,"60421,1",,,,,,,,
27,27,2017.01.02,11:10,60440,60480,60435,60460,"60377,2","60424,6",,,,,,,,
28,28,2017.01.02,11:15,60465,60495,60440,60485,"60393,3","60430,1",,,,,,,,
29,29,2017.01.02,11:20,60480,60525,60465,60520,"60417,2","60438,3",,,,,,,,
30,30,2017.01.02,11:25,60520,60550,60510,60540,"60442,8","60447,6",,,,,,,,
31,31,2017.01.02,11:30,60545,60550,60490,60510,"60459,4","60453,2",,,,,,,,
32,32,2017.01.02,11:35,60520,60550,60470,60485,"60471,7","60456,1",,,,,,,,
33,33,2017.01.02,11:40,60490,60545,60485,60515,"60488,3","60461,5",,,,,,,,
34,34,2017.01.02,11:45,60510,60520,60475,60500,60495,60465,,,,,,,,
35,35,2017.01.02,11:50,60495,60600,60495,60590,"60511,7","60476,3",,,,,,,,
36,36,2017.01.02,11:55,60590,60610,60560,60570,"60523,9","60484,9",,,,,,,,
37,37,2017.01.02,12:00,60565,60600,60525,60535,"60529,4","60489,4",,,,,,,,
38,38,2017.01.02,12:05,60535,60565,60535,60565,"60534,4","60496,3",,,,,,,,
39,39,2017.01.02,12:10,60565,60570,60490,60500,60530,"60496,6",,,,,,,,
40,40,2017.01.02,12:15,60505,60505,60390,60405,"60518,3","60488,3",,,,,,,,
41,41,2017.01.02,12:20,60410,60445,60400,60435,"60512,8","60483,4",,,,,,,,
42,42,2017.01.02,12:25,60440,60465,60400,60430,"60503,3","60478,6",,,,,,,,
43,43,2017.01.02,12:30,60430,60445,60415,60430,"60495,6","60474,2",,,,,,,,
44,44,2017.01.02,12:35,60425,60445,60425,60425,"60477,2","60469,7",,,,,,,,
45,45,2017.01.02,12:40,60430,60445,60400,60445,"60463,3","60467,5",,,,,,,,
46,46,2017.01.02,12:45,60445,60515,60430,60500,"60459,4","60470,4",,,,,,,,
47,47,2017.01.02,12:50,60500,60505,60465,60465,"60448,3","60469,9",,,,,,,,
48,48,2017.01.02,12:55,60465,60470,60440,60460,"60443,9",60469,,,,,,,,
49,49,2017.01.02,13:00,60460,60465,60315,60330,"60435,6","60456,4",,,,,,,,
50,50,2017.01.02,13:05,60325,60370,60290,60340,60425,"60445,8",,,,,,,,
51,51,2017.01.02,13:10,60340,60360,60260,60320,"60412,8","60434,4",,,,,,,,
52,52,2017.01.02,13:15,60325,60395,60290,60340,"60402,8","60425,8",,,,,,,,
53,53,2017.01.02,13:20,60340,60365,60330,60360,"60395,6","60419,8",,,,,,,,
54,54,2017.01.02,13:25,60360,60515,60290,60500,"60401,7","60427,1",,,,,,,,
55,55,2017.01.02,13:30,60505,60600,60500,60580,"60410,6",60441,,,,,,,,
56,56,2017.01.02,13:35,60585,60690,60555,60660,"60432,2","60460,9",,,,,,,,
57,57,2017.01.02,13:40,60665,60670,60630,60645,"60452,8","60477,6",,,,,,,,
58,58,2017.01.02,13:45,60645,60725,60620,60665,60490,"60494,7",,,,,,,,
59,59,2017.01.02,13:50,60660,60680,60580,60615,"60520,6","60505,6",,,,,,,,
60,60,2017.01.02,13:55,60610,60645,60600,60640,"60556,1","60517,8",,,,,,,,
61,61,2017.01.02,14:00,60640,60675,60605,60625,"60587,8","60527,6",,,,,,,,
62,62,2017.01.02,14:05,60630,60655,60620,60640,"60618,9","60537,8",,,,,,,,
63,63,2017.01.02,14:10,60640,60645,60615,60640,"60634,4","60547,1",,,,,,,,
64,64,2017.01.02,14:15,60640,60650,60630,60630,60640,"60554,6",,,,,,,,
65,65,2017.01.02,14:20,60635,60780,60625,60760,"60651,1","60573,3",,,,,,,,
66,66,2017.01.02,14:25,60750,60770,60725,60750,"60662,8","60589,4",,,,,,,,
67,67,2017.01.02,14:30,60755,60790,60755,60765,"60673,9","60605,3",,,,,,,,
68,68,2017.01.02,14:35,60765,60800,60670,60730,"60686,7","60616,7",,,,,,,,
69,69,2017.01.02,14:40,60725,60745,60655,60680,"60691,1","60622,4",,,,,,,,
70,70,2017.01.02,14:45,60675,60690,60640,60665,"60695,6","60626,3",,,,,,,,
71,71,2017.01.02,14:50,60665,60715,60650,60710,"60703,3","60633,9",,,,,,,,
72,72,2017.01.02,14:55,60710,60730,60610,60625,"60701,7","60633,1",,,,,,,,
73,73,2017.01.02,15:00,60630,60675,60565,60665,"60705,6",60636,,,,,,,,
74,74,2017.01.02,15:05,60670,60670,60625,60660,"60694,4","60638,2",,,,,,,,
75,75,2017.01.02,15:10,60660,60710,60655,60675,"60686,1","60641,5",,,,,,,,
76,76,2017.01.02,15:15,60675,60705,60670,60685,"60677,2","60645,5",,,,,,,,
77,77,2017.01.02,15:20,60690,60700,60600,60635,"60666,7","60644,5",,,,,,,,
78,78,2017.01.02,15:25,60630,60700,60615,60700,"60668,9","60649,6",,,,,,,,
79,79,2017.01.02,15:30,60690,60775,60605,60625,"60664,4","60647,3",,,,,,,,
80,80,2017.01.02,15:35,60620,60630,60520,60565,"60648,3","60639,8",,,,,,,,
81,81,2017.01.02,15:40,60565,60590,60470,60490,"60633,3","60626,2",,,,,,,,
82,82,2017.01.02,15:45,60490,60490,60365,60375,"60601,1","60603,4",,,,,,,,
83,83,2017.01.02,15:50,60375,60435,60335,60425,60575,"60587,2",,,,,,,,
84,84,2017.01.02,15:55,60420,60430,60340,60375,"60541,7","60567,9",,,,,,,,
85,85,2017.01.02,16:00,60380,60460,60360,60390,"60508,9","60551,7",,,,,,,,
86,86,2017.01.02,16:05,60385,60395,60315,60335,"60475,6",60532,,,,,,,,
87,87,2017.01.02,16:10,60335,60340,60290,60315,"60432,8","60512,3",,,,,,,,
88,88,2017.01.02,16:15,60310,60450,60310,60415,"60409,4","60503,4",,,,,,,,
89,89,2017.01.02,16:20,60405,60490,60395,60425,"60393,9","60496,3",,,,,,,,
90,90,2017.01.02,16:25,60435,60470,60405,60465,"60391,1","60493,5",,,,,,,,
