id	AnoMesDia	Hora	Abe	Max	Min	Fec	Media1	Media2
1	2019.01.02	09:00	87800	87850	87585	87720		
2	2019.01.02	09:05	87725	87850	87715	87835		
3	2019.01.02	09:10	87835	87965	87780	87860		
4	2019.01.02	09:15	87865	87890	87760	87850		
5	2019.01.02	09:20	87850	87930	87820	87905		
6	2019.01.02	09:25	87905	88030	87900	88000		
7	2019.01.02	09:30	87995	88035	87935	87985		
8	2019.01.02	09:35	87985	88010	87855	87895		
9	2019.01.02	09:40	87900	87970	87870	87905		
10	2019.01.02	09:45	87905	87965	87880	87920		
11	2019.01.02	09:50	87920	88005	87900	87975		
12	2019.01.02	09:55	87975	87975	87865	87915		
13	2019.01.02	10:00	87910	88110	87910	88075		
14	2019.01.02	10:05	88080	88100	87955	88005		
15	2019.01.02	10:10	88005	88155	88000	88145		
16	2019.01.02	10:15	88145	88215	88080	88130		
17	2019.01.02	10:20	88125	88190	88110	88160		
18	2019.01.02	10:25	88160	88190	88050	88125		
19	2019.01.02	10:30	88125	88160	88010	88100		
20	2019.01.02	10:35	88095	88185	88035	88150		
21	2019.01.02	10:40	88155	88235	88135	88215	88,122.8	87993.8
22	2019.01.02	10:45	88210	88370	88210	88345	88,152.8	88025.7
23	2019.01.02	10:50	88350	88365	88260	88320	88,187.8	88052.5
24	2019.01.02	10:55	88320	88415	88315	88365	88,212.2	88080.9
25	2019.01.02	11:00	88365	88490	88340	88465	88,249.4	88115.8
26	2019.01.02	11:05	88465	88535	88425	88510	88,288.3	88151.7
27	2019.01.02	11:10	88510	88595	88485	88540	88,334.4	88187.0
28	2019.01.02	11:15	88535	88785	88535	88770	88,408.9	88240.0
29	2019.01.02	11:20	88765	88775	88635	88650	88,464.4	88277.2
30	2019.01.02	11:25	88650	88650	88525	88640	88,511.7	88310.2
31	2019.01.02	11:30	88640	88680	88535	88580	88,537.8	88334.7
32	2019.01.02	11:35	88580	88695	88540	88630	88,572.2	88361.6
33	2019.01.02	11:40	88630	88715	88615	88695	88,608.9	88391.9
34	2019.01.02	11:45	88695	88815	88655	88750	88,640.6	88424.4
